initial_preference_width,adaptive_tolerance,initial_distribution,social_signal_weight,trending_weight,regime,seed,initial_mean_extremity,initial_opinion_variance,initial_extreme_share,final_mean_opinion,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_preference_extremity,final_acceptance_threshold,final_rejection_threshold,final_acceptance_rate,final_ignore_rate,final_backfire_rate,final_avg_exposure_distance,final_opinion_bimodality,final_acceptance_history_filled
0.2,True,polarized,0.4,0.4,hybrid,18,0.4492173632148808,0.23362917020087537,0.05,0.0231017785051465,0.12266587678292719,0.07977066328320175,0.075,0.1185796240187614,0.12826603852074092,0.54277,1.0242099999999998,0.82055,0.13075,0.0487,0.13608508262519814,0.46745515268375126,0.9619999999999999
0.2,True,polarized,0.4,0.4,hybrid,19,0.4399594978651796,0.23042784527734406,0.07,-0.0007612020519054984,0.13376990312205866,0.09335296680405243,0.09,0.11706396742462706,0.14109715673438686,0.541955,1.0228700000000002,0.8234,0.11865,0.05795,0.13781748535496197,0.4724639533242407,0.9515
0.2,True,polarized,0.4,0.4,hybrid,20,0.4443131070571553,0.2285117763067054,0.04,0.035825034452709056,0.11902573656596793,0.07464744310728276,0.07,0.11826391820737576,0.12459546489996098,0.5449799999999999,1.023055,0.823,0.1285,0.0485,0.13586976684802787,0.5151706380459221,0.9584999999999999
0.2,True,polarized,0.0,0.0,individual_baseline,1,0.4668609586212769,0.2453650792035254,0.055,0.006490522193838471,0.49496011255799016,0.3041706402048642,0.17,0.12282551470248664,0.49195244528468074,0.5999499999999999,1.10782,0.95285,0.04705,0.0001,0.10888780773303325,2.030546103622802,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,2,0.43506365169353584,0.22232045160278577,0.03,0.011512966741298087,0.43328608681925446,0.252165374949972,0.14,0.12255749662439783,0.439784064433104,0.5998999999999998,1.105585,0.9562,0.0435,0.0003,0.10482099673259825,1.692466440469799,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,3,0.45064562299817873,0.23873278035557605,0.06,0.008688586050301272,0.4722262559909472,0.28612972224644506,0.165,0.12274219838256543,0.47631048053443537,0.5997749999999998,1.10462,0.9551,0.0448,0.0001,0.10015293473549074,1.875829608596311,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,4,0.4442250039909191,0.2298041902946619,0.055,0.02259727081666363,0.45120270321433714,0.26619731426223725,0.135,0.12259875602214876,0.45691015403189295,0.5998999999999998,1.102755,0.9532,0.0464,0.0004,0.1005495939439141,1.8031754574181447,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,5,0.43906114987840866,0.21671092296708758,0.02,-0.01473135195144264,0.4508442613106564,0.2712020905156162,0.165,0.12281979933251862,0.45189889139196265,0.5999849999999999,1.098465,0.951,0.0488,0.0002,0.1086269576858993,1.7279862386239038,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,6,0.4426068914025628,0.22571694180924964,0.035,0.02687922872020466,0.46427427338396726,0.2771585105810504,0.18,0.12266955428604595,0.47054229388777813,0.5999599999999998,1.1006299999999998,0.95115,0.04845,0.0004,0.09872648859765343,1.8180791766840267,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,7,0.43133248537533275,0.21383429920823085,0.04,-0.0375397120444012,0.43540589956315,0.24271735852648477,0.115,0.12270602084718424,0.4386020443636552,0.5998249999999998,1.10486,0.95215,0.04755,0.0003,0.10254197748205961,1.7413438996333028,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,8,0.4600385487200863,0.24621083044909697,0.045,-0.037532688173253545,0.4706576409569192,0.2837957968388196,0.155,0.122776763944272,0.4740660458140419,0.5999099999999998,1.10389,0.95215,0.04765,0.0002,0.10232546141361562,1.8791808843992348,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,9,0.457960677500913,0.2440319274343339,0.055,-0.01574480686622416,0.47038532988244386,0.28209477526702,0.175,0.12245639009997289,0.4763355220314361,0.5999549999999999,1.1123349999999999,0.95885,0.04085,0.0003,0.09637379280395769,1.8935351326795589,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,10,0.4496503755973629,0.23718923745505877,0.045,0.039688899080187974,0.4899539869286978,0.3007007125083196,0.205,0.12259903547711878,0.4917596388103666,0.5999599999999998,1.111215,0.95695,0.04285,0.0002,0.10206029637273857,1.8947083376095706,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,11,0.45985046197827545,0.2461583381342356,0.085,-0.009668948925719408,0.4701373851984995,0.29410262976206225,0.205,0.12257157762352584,0.4714221458152245,0.5999999999999999,1.10208,0.9538,0.0458,0.0004,0.09612034392999273,1.7392640684332648,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,12,0.45031744640062976,0.23941263011325145,0.07,-0.03493848586853742,0.4511340421688449,0.2674866667862184,0.155,0.12278783502574582,0.4551558037865236,0.5999999999999999,1.102155,0.95285,0.047,0.00015,0.10709187173927524,1.7754464149809346,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,13,0.4374130441965166,0.21508463672746786,0.035,-0.08762499458620283,0.45365351992168734,0.26496363228923797,0.145,0.1224563365685026,0.4548071885664251,0.5999599999999998,1.1077199999999998,0.9579,0.04175,0.00035,0.09516542392521067,1.7111136770700903,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,14,0.442278970989667,0.22460026334237937,0.045,-0.03280546447184998,0.46980856406482985,0.28712906576931946,0.175,0.12261224475912433,0.47307335375785003,0.5998099999999998,1.1024949999999998,0.9537,0.04595,0.00035,0.10198459799019222,1.81105188629072,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,15,0.4519709821707413,0.22929225639496903,0.055,0.047377327313266104,0.4521187732110593,0.26727538476583573,0.13,0.12268462529522112,0.4558043460136701,0.5999749999999999,1.10549,0.95465,0.04515,0.0002,0.10825982491335098,1.7651634048100373,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,16,0.4457973589416511,0.22581014199571503,0.04,-0.04781979483756102,0.44842070200662915,0.2589747981128492,0.135,0.12266435698814517,0.4589162254768281,0.5999999999999999,1.115575,0.9591,0.0409,0.0,0.10824104806583655,1.8184159849674206,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,17,0.45520274585104886,0.23735515716059644,0.055,0.011952182648239934,0.4580990819132339,0.26970752469541753,0.155,0.12262307303951146,0.4641097400823145,0.5999999999999999,1.111355,0.9573,0.04255,0.00015,0.11012673880298507,1.8654172695476239,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,18,0.4306674368237013,0.2137287394287651,0.03,0.03382931764741687,0.4479771350995725,0.27232803127132743,0.19,0.12263630789168613,0.4512053095450868,0.5999499999999999,1.104855,0.9521,0.0475,0.0004,0.09922427252747999,1.6618132391465763,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,19,0.4604018993875906,0.23730044093781189,0.055,-0.02154492482197595,0.47408452712217497,0.28578760124012254,0.19,0.12269871314368888,0.4780183992179799,0.5998999999999999,1.106455,0.95525,0.0446,0.00015,0.10672156145897642,1.8635782687128184,1.0
0.2,True,polarized,0.0,0.0,individual_baseline,20,0.45287684826840674,0.23664653046805742,0.04,-0.03280351210132492,0.47228511260038636,0.2802234954387052,0.15,0.12285290908570232,0.4792841487899604,0.5998999999999998,1.10177,0.9521,0.0478,0.0001,0.09887736377925403,1.9060414446868483,1.0
0.2,True,polarized,0.5,0.0,local_cf,1,0.4557928306693561,0.2362735794276417,0.04,0.012343911169392463,0.4537716940825846,0.2636352147846896,0.125,0.12241276271958966,0.45640367620361133,0.5999999999999999,1.1117399999999997,0.962,0.0378,0.0002,0.09744174094018472,1.8851820508172616,1.0
0.2,True,polarized,0.5,0.0,local_cf,2,0.46286152238377215,0.24924015001071698,0.065,-0.01760857949726002,0.4498497302850273,0.2592312115663896,0.14,0.12247037520545151,0.4542056661252477,0.5999999999999999,1.1058949999999999,0.9575,0.04215,0.00035,0.10440713150271719,1.8855327588899349,1.0
0.2,True,polarized,0.5,0.0,local_cf,3,0.4314530003605776,0.2172347800810941,0.04,0.003462520753257108,0.4466951219190517,0.2545272074664196,0.12,0.12236009266866084,0.45353731026535044,0.5999999999999999,1.1083749999999997,0.9624,0.03735,0.00025,0.09326484036979428,1.9004504140698562,1.0
0.2,True,polarized,0.5,0.0,local_cf,4,0.45128368657510465,0.23240173381201032,0.015,0.01552913595220069,0.448584333475314,0.2691408576843116,0.175,0.12244610966218332,0.45101175686485584,0.5999749999999999,1.1060999999999999,0.9601,0.03965,0.00025,0.09353355429566655,1.710133115021556,1.0
