initial_preference_width,adaptive_tolerance,backfire_rate,seed,initial_mean_extremity,final_mean_extremity,delta_extremity,final_extreme_share,final_opinion_variance,final_backfire_rate_observed,final_acceptance_rate
0.6,False,0.0,20,0.527119700541352,0.5636474934288858,0.03652779288753372,0.395,0.41067661507391934,0.0616,0.5738
0.85,False,0.0,1,0.5380338813570394,0.5665032264306487,0.02846934507360921,0.345,0.4077604940213929,0.10205,0.51115
0.85,False,0.0,2,0.5039942537498406,0.5296843155009353,0.025690061751094673,0.36,0.38833901131734294,0.1029,0.5164
0.85,False,0.0,3,0.4890296296058673,0.5180967930276394,0.029067163421772124,0.315,0.3614636495492639,0.10485,0.4953
0.85,False,0.0,4,0.5382270372131428,0.5689820016083176,0.030754964395174778,0.385,0.4185626878267975,0.10385,0.5137
0.85,False,0.0,5,0.5029302632833011,0.5211630477807856,0.018232784497484444,0.31,0.3649116605158209,0.1061,0.5024
0.85,False,0.0,6,0.5186356672752157,0.5563274735413373,0.037691806266121564,0.365,0.40964401636654074,0.10225,0.50565
0.85,False,0.0,7,0.513637667411623,0.5430116940435314,0.029374026631908468,0.375,0.39266329334268724,0.1023,0.52215
0.85,False,0.0,8,0.5087707013838418,0.538636299869659,0.029865598485817157,0.32,0.3784303883421795,0.1033,0.49935
0.85,False,0.0,9,0.5037796340055101,0.5313749403116232,0.027595306306113176,0.355,0.38696119039055105,0.1026,0.51765
0.85,False,0.0,10,0.4783554051954107,0.5063668400041837,0.02801143480877305,0.32,0.35705022940121195,0.1036,0.5086
0.85,False,0.0,11,0.5245057294818782,0.5612118826134403,0.036706153131562114,0.38,0.4150424341580971,0.1046,0.50535
0.85,False,0.0,12,0.5092713362654364,0.5352675715411463,0.025996235275709934,0.32,0.37614708140852315,0.1039,0.4978
0.85,False,0.0,13,0.525746492476239,0.5526528465989133,0.026906354122674392,0.385,0.40260389937294333,0.10155,0.511
0.85,False,0.0,14,0.49961878918402114,0.5297886646225866,0.03016987543856542,0.355,0.38275058230049225,0.1048,0.51065
0.85,False,0.0,15,0.49128662390873923,0.5162644336689904,0.024977809760251213,0.3,0.3484289138623942,0.1034,0.4904
0.85,False,0.0,16,0.5398227235682644,0.565562553226603,0.025739829658338542,0.38,0.40818626025840854,0.0983,0.5265
0.85,False,0.0,17,0.501087792958863,0.5278469307609134,0.026759137802050414,0.34,0.3767743074220799,0.09995,0.5122
0.85,False,0.0,18,0.5282595433746189,0.5671550364568745,0.038895493082255594,0.34,0.4110372026317548,0.10075,0.50475
0.85,False,0.0,19,0.4817971947725576,0.5127735501596359,0.03097635538707827,0.295,0.3563961154539595,0.10145,0.5046
0.85,False,0.0,20,0.527119700541352,0.5561166484278033,0.02899694788645124,0.39,0.40414211153075913,0.10465,0.51655
1.0,False,0.0,1,0.5380338813570394,0.5609306594381096,0.022896778081070157,0.355,0.40363153274099384,0.1218,0.4892
1.0,False,0.0,2,0.5039942537498406,0.5328965452037309,0.028902291453890228,0.35,0.38696079286940477,0.12405,0.48965
1.0,False,0.0,3,0.4890296296058673,0.5326638073646562,0.04363417775878892,0.365,0.3832415039592164,0.1229,0.4817
1.0,False,0.0,4,0.5382270372131428,0.5634536644140958,0.025226627200953033,0.38,0.4124142985454738,0.12505,0.48435
1.0,False,0.0,5,0.5029302632833011,0.5240516237540134,0.021121360470712225,0.325,0.3769914466010548,0.12585,0.4853
1.0,False,0.0,6,0.5186356672752157,0.5487678463897873,0.030132179114571556,0.35,0.4005852098376303,0.1249,0.47925
