backfire_rate,initial_preference_width,social_signal_weight,trending_weight,regime,seed,initial_mean_extremity,final_mean_extremity,final_opinion_variance,final_extreme_share,final_acceptance_rate,final_backfire_rate,final_ignore_rate,final_opinion_bimodality
0.0,0.5,0.0,0.5,global_trending,18,0.5282595433746189,0.3691606907605849,0.19900583050517145,0.1,0.43065,0.1022,0.46715,1.4288623577275674
0.0,0.5,0.0,0.5,global_trending,19,0.4817971947725576,0.32540241869953845,0.16850188038368583,0.105,0.4525,0.09855,0.44895,1.2738013932068237
0.0,0.5,0.0,0.5,global_trending,20,0.527119700541352,0.37463158265895286,0.2047141649967993,0.135,0.437,0.1048,0.4582,1.3144765929300457
0.03,0.5,0.0,0.5,global_trending,1,0.5380338813570394,0.5887545293787905,0.4738831006015104,0.42,0.34025,0.152,0.50775,1.649115613501401
0.03,0.5,0.0,0.5,global_trending,2,0.5039942537498406,0.5415191469033228,0.4245445394527835,0.38,0.36185,0.1439,0.49425,1.4970243402252676
0.03,0.5,0.0,0.5,global_trending,3,0.4890296296058673,0.5188605401829612,0.38618171839203497,0.31,0.37105,0.13835,0.4906,1.5182303200189218
0.03,0.5,0.0,0.5,global_trending,4,0.5382270372131428,0.5948911771128453,0.4729196983284376,0.385,0.337,0.15495,0.50805,1.7089061015845413
0.03,0.5,0.0,0.5,global_trending,5,0.5029302632833011,0.5603025460798612,0.4428307926198613,0.365,0.3489,0.14925,0.50185,1.5595417594755625
0.03,0.5,0.0,0.5,global_trending,6,0.5186356672752157,0.5540146934371099,0.4459089044263233,0.375,0.34885,0.1563,0.49485,1.48806154943873
0.03,0.5,0.0,0.5,global_trending,7,0.513637667411623,0.5574473095708253,0.42773162903216816,0.34,0.3709,0.16745,0.46165,1.536644816644958
0.03,0.5,0.0,0.5,global_trending,8,0.5087707013838418,0.5527206850006728,0.42860719869348346,0.365,0.36485,0.15475,0.4804,1.5705056616081978
0.03,0.5,0.0,0.5,global_trending,9,0.5037796340055101,0.516323014423919,0.3939347025983305,0.32,0.37055,0.1391,0.49035,1.4470580650998905
0.03,0.5,0.0,0.5,global_trending,10,0.4783554051954107,0.5063502299412977,0.381693315513199,0.33,0.3848,0.1349,0.4803,1.427073724427911
0.03,0.5,0.0,0.5,global_trending,11,0.5245057294818782,0.5590878125510688,0.4383513209800837,0.39,0.3503,0.1528,0.4969,1.5742273694239657
0.03,0.5,0.0,0.5,global_trending,12,0.5092713362654364,0.54565908378175,0.4236921394072041,0.36,0.37135,0.15525,0.4734,1.4812408789627571
0.03,0.5,0.0,0.5,global_trending,13,0.525746492476239,0.5697854968826314,0.4480860206948424,0.36,0.3602,0.1588,0.481,1.573652690307482
0.03,0.5,0.0,0.5,global_trending,14,0.49961878918402114,0.541147690880601,0.41862130068418585,0.375,0.3622,0.14575,0.49205,1.4819913750205327
0.03,0.5,0.0,0.5,global_trending,15,0.49128662390873923,0.5451762142531689,0.41443347971285144,0.34,0.37935,0.16415,0.4565,1.4296607982644616
0.03,0.5,0.0,0.5,global_trending,16,0.5398227235682644,0.5665488022301388,0.4389561210509308,0.395,0.3664,0.14355,0.49005,1.559262537991882
0.03,0.5,0.0,0.5,global_trending,17,0.501087792958863,0.5120744067422183,0.3926469253949918,0.35,0.38315,0.1365,0.48035,1.4166169767062817
0.03,0.5,0.0,0.5,global_trending,18,0.5282595433746189,0.5639975459209056,0.45239397945504095,0.395,0.35675,0.1573,0.48595,1.530688385924205
0.03,0.5,0.0,0.5,global_trending,19,0.4817971947725576,0.5284019883259663,0.39702163206291075,0.34,0.37655,0.1523,0.47115,1.47749986883592
0.03,0.5,0.0,0.5,global_trending,20,0.527119700541352,0.5828844421142664,0.46437964570532836,0.395,0.3499,0.1693,0.4808,1.556138256197974
0.06,0.5,0.0,0.5,global_trending,1,0.5380338813570394,0.7204170348457288,0.6364753657019442,0.62,0.29265,0.1802,0.52715,2.0914695732913975
0.06,0.5,0.0,0.5,global_trending,2,0.5039942537498406,0.6825082173354445,0.5931724789996191,0.57,0.30485,0.17035,0.5248,1.9009423256264106
0.06,0.5,0.0,0.5,global_trending,3,0.4890296296058673,0.6830447789532124,0.5932186586837491,0.56,0.30445,0.1749,0.52065,1.916745079490928
0.06,0.5,0.0,0.5,global_trending,4,0.5382270372131428,0.7459599608637743,0.6769341819705929,0.66,0.282,0.19505,0.52295,2.148433875170657
0.06,0.5,0.0,0.5,global_trending,5,0.5029302632833011,0.7132887743864774,0.6382597474609049,0.63,0.28105,0.1917,0.52725,1.9801893421611065
0.06,0.5,0.0,0.5,global_trending,6,0.5186356672752157,0.6859664707419413,0.604366597759317,0.595,0.3001,0.1779,0.522,1.8757162888706669
0.06,0.5,0.0,0.5,global_trending,7,0.513637667411623,0.6741357150527909,0.5773884385792445,0.525,0.31935,0.19345,0.4872,1.8931292345179307
0.06,0.5,0.0,0.5,global_trending,8,0.5087707013838418,0.6938040617426202,0.6086009678943882,0.57,0.30045,0.2015,0.49805,1.9450608278184531
0.06,0.5,0.0,0.5,global_trending,9,0.5037796340055101,0.666150324535831,0.5716972792325578,0.535,0.32135,0.1633,0.51535,1.8601272299259604
0.06,0.5,0.0,0.5,global_trending,10,0.4783554051954107,0.6735126359285823,0.5828175296385817,0.57,0.31465,0.163,0.52235,1.865665382605928
0.06,0.5,0.0,0.5,global_trending,11,0.5245057294818782,0.7159020146370206,0.6355784153273688,0.61,0.29095,0.1885,0.52055,2.037948946435966
0.06,0.5,0.0,0.5,global_trending,12,0.5092713362654364,0.6912802977625624,0.595216024229571,0.555,0.3105,0.1931,0.4964,1.9184141110885984
0.06,0.5,0.0,0.5,global_trending,13,0.525746492476239,0.7241882603789377,0.6340214040468044,0.6,0.2974,0.192,0.5106,1.9977264397465058
0.06,0.5,0.0,0.5,global_trending,14,0.49961878918402114,0.6713803696123263,0.5768801187615895,0.53,0.3116,0.17785,0.51055,1.8283700034783024
0.06,0.5,0.0,0.5,global_trending,15,0.49128662390873923,0.6898666907862331,0.5949402323291167,0.55,0.318,0.2057,0.4763,1.7647193666569974
0.06,0.5,0.0,0.5,global_trending,16,0.5398227235682644,0.719279757710271,0.6234894775729031,0.595,0.30085,0.18805,0.5111,2.0289589801538384
0.06,0.5,0.0,0.5,global_trending,17,0.501087792958863,0.6754680979676612,0.5755300727953456,0.55,0.30885,0.1623,0.52885,1.9512434912689163
0.06,0.5,0.0,0.5,global_trending,18,0.5282595433746189,0.7119917803426117,0.6279996154688235,0.59,0.2938,0.20135,0.50485,2.052587103563383
0.06,0.5,0.0,0.5,global_trending,19,0.4817971947725576,0.6663668946241563,0.5672773945126771,0.53,0.32775,0.1817,0.49055,1.83330351459032
0.06,0.5,0.0,0.5,global_trending,20,0.527119700541352,0.725232105476579,0.6407849546062374,0.605,0.29625,0.2188,0.48495,2.0416848346464223
0.12,0.5,0.0,0.5,global_trending,1,0.5380338813570394,0.8720917554565485,0.8230679425251914,0.845,0.21695,0.21365,0.5694,3.494587514033174
0.12,0.5,0.0,0.5,global_trending,2,0.5039942537498406,0.8182823867972835,0.7580375983725043,0.75,0.24195,0.20955,0.5485,2.7263206208851045
0.12,0.5,0.0,0.5,global_trending,3,0.4890296296058673,0.8461470311935839,0.7939816545368875,0.8,0.23705,0.2176,0.54535,3.010222069469854
0.12,0.5,0.0,0.5,global_trending,4,0.5382270372131428,0.8681015212013896,0.822945960019726,0.825,0.22155,0.21625,0.5622,3.284454996583921
0.12,0.5,0.0,0.5,global_trending,5,0.5029302632833011,0.8514509354985953,0.8054715355683197,0.81,0.22425,0.2169,0.55885,2.9844867465540026
0.12,0.5,0.0,0.5,global_trending,6,0.5186356672752157,0.8617848627508466,0.8226205796104541,0.835,0.2232,0.2295,0.5473,2.9284077436806126
0.12,0.5,0.0,0.5,global_trending,7,0.513637667411623,0.8438917050904997,0.7848155599570594,0.76,0.24975,0.274,0.47625,3.0593399745720684
0.12,0.5,0.0,0.5,global_trending,8,0.5087707013838418,0.8641114084073049,0.8090405881823318,0.815,0.2333,0.2332,0.5335,3.4656356593749797
0.12,0.5,0.0,0.5,global_trending,9,0.5037796340055101,0.8543381316814984,0.7964272364421526,0.795,0.24135,0.21215,0.5465,3.211008045089822
0.12,0.5,0.0,0.5,global_trending,10,0.4783554051954107,0.8381049276418818,0.7807189211235805,0.795,0.24565,0.1961,0.55825,2.8524912923612145
0.12,0.5,0.0,0.5,global_trending,11,0.5245057294818782,0.8468456796842138,0.8019177325790576,0.83,0.21955,0.2089,0.57155,2.866325458091647
0.12,0.5,0.0,0.5,global_trending,12,0.5092713362654364,0.8719541173140292,0.8214604824662696,0.82,0.23495,0.265,0.50005,3.2594052682512173
0.12,0.5,0.0,0.5,global_trending,13,0.525746492476239,0.8790338644913709,0.8261509504076427,0.82,0.22965,0.25035,0.52,3.093678895310318
0.12,0.5,0.0,0.5,global_trending,14,0.49961878918402114,0.855959410706681,0.805821826213635,0.8,0.2331,0.21575,0.55115,2.8437637321012113
0.12,0.5,0.0,0.5,global_trending,15,0.49128662390873923,0.8315368265583772,0.7682907098595938,0.76,0.2545,0.25495,0.49055,2.6796597997326046
0.12,0.5,0.0,0.5,global_trending,16,0.5398227235682644,0.8806369159192861,0.8287677396426009,0.815,0.2269,0.22205,0.55105,3.473722489487118
0.12,0.5,0.0,0.5,global_trending,17,0.501087792958863,0.8454487741583883,0.7900149248243982,0.805,0.2369,0.20095,0.56215,3.0456195297798643
0.12,0.5,0.0,0.5,global_trending,18,0.5282595433746189,0.8921093731913203,0.847719536989838,0.87,0.21035,0.21285,0.5768,3.6748545323085584
0.12,0.5,0.0,0.5,global_trending,19,0.4817971947725576,0.8511671749179004,0.8069040675501279,0.82,0.23335,0.21705,0.5496,2.8408698974348052
0.12,0.5,0.0,0.5,global_trending,20,0.527119700541352,0.8442706922853405,0.7803011971056562,0.77,0.24885,0.2592,0.49195,2.846507007127394
0.0,1.0,0.0,0.5,global_trending,1,0.5380338813570394,0.4509488204440062,0.26395838235713365,0.115,0.36835,0.1841,0.44755,1.836589383711343
0.0,1.0,0.0,0.5,global_trending,2,0.5039942537498406,0.4171300157361925,0.2477897445388196,0.145,0.36835,0.1869,0.44475,1.5191751928755353
0.0,1.0,0.0,0.5,global_trending,3,0.4890296296058673,0.40070960652445836,0.22693698311270868,0.11,0.3679,0.18255,0.44955,1.5473877257169797
0.0,1.0,0.0,0.5,global_trending,4,0.5382270372131428,0.434667720810187,0.24882964869154559,0.1,0.3715,0.18925,0.43925,1.7763618371583243
0.0,1.0,0.0,0.5,global_trending,5,0.5029302632833011,0.4219283102083252,0.2463367780892459,0.12,0.3654,0.18825,0.44635,1.615725924443735
0.0,1.0,0.0,0.5,global_trending,6,0.5186356672752157,0.4413165843179672,0.2673030353848875,0.125,0.35585,0.1927,0.45145,1.6337904587518821
0.0,1.0,0.0,0.5,global_trending,7,0.513637667411623,0.43582703457169025,0.25047233732844626,0.12,0.37625,0.18775,0.436,1.6212938617069816
0.0,1.0,0.0,0.5,global_trending,8,0.5087707013838418,0.4178379076511029,0.23703175932272344,0.105,0.3664,0.18705,0.44655,1.6594512531484569
0.0,1.0,0.0,0.5,global_trending,9,0.5037796340055101,0.4113460961379626,0.24505808894181796,0.15,0.3789,0.1847,0.4364,1.4913846849700934
0.0,1.0,0.0,0.5,global_trending,10,0.4783554051954107,0.39278473367288924,0.22095552930033693,0.09,0.37825,0.17865,0.4431,1.5216194351064074
0.0,1.0,0.0,0.5,global_trending,11,0.5245057294818782,0.44222199067924595,0.2643804124547653,0.145,0.3622,0.19255,0.44525,1.684849479642307
