initial_preference_width,adaptive_tolerance,initial_distribution,seed,initial_mean_extremity,initial_opinion_variance,initial_extreme_share,final_mean_opinion,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_preference_extremity,final_acceptance_threshold,final_rejection_threshold,final_acceptance_rate,final_ignore_rate,final_backfire_rate,final_avg_exposure_distance
0.3,False,moderate,11,0.1965669382809937,0.058304642699850466,0.005,0.017959890645749294,0.2450362241554412,0.08987043908834623,0.015,0.18705586672886998,0.2518549434466385,0.26415000000000005,0.6984999999999999,0.69955,0.28995,0.0105,0.15091293500880895
0.3,False,moderate,12,0.21982299284317086,0.07400824403603137,0.01,0.03597121569518964,0.24911646880863245,0.09463682417645966,0.025,0.18725334747107894,0.25495553772428375,0.2684,0.706,0.70555,0.2844,0.01005,0.13937639434968446
0.3,False,moderate,13,0.1993263749903787,0.06332621464814686,0.005,-0.024216760699508035,0.23686724742814286,0.08757449468006862,0.01,0.18570422827269792,0.2401133744221795,0.27435000000000004,0.7164999999999998,0.7239,0.26555,0.01055,0.14590703542989344
0.3,False,moderate,14,0.19432313912680868,0.0615970888955031,0.0,-0.016804720386657205,0.23762292713136218,0.09491342525577867,0.035,0.1861223572302033,0.24512024602250712,0.26925000000000004,0.7075,0.70575,0.2832,0.01105,0.1431638457094104
0.3,False,moderate,15,0.1897390841911938,0.05949038304231931,0.0,0.01034697842845572,0.23465398450079542,0.08703300585958619,0.02,0.18516580921335826,0.2423921592065765,0.265,0.7,0.70945,0.27885,0.0117,0.14345466265042128
0.3,False,moderate,16,0.2096341307306211,0.06892166427489825,0.005,-0.016507329023402177,0.24662600420214992,0.10044440057603526,0.035,0.18667326881118235,0.2592888884099544,0.2735,0.715,0.7194,0.2708,0.0098,0.14952133124225725
0.3,False,moderate,17,0.19978061579821285,0.060787814047415276,0.0,-0.0015383565240277763,0.24231527118194868,0.0944861389530125,0.015,0.18459842564736387,0.24932063606611934,0.25905,0.6894999999999999,0.69885,0.2883,0.01285,0.15114236593072117
0.3,False,moderate,18,0.2164953875695363,0.07082592223444255,0.0,0.01263534726038225,0.2484176569889487,0.0972779753985082,0.02,0.18597643537031303,0.2533083916491914,0.26160000000000005,0.694,0.70185,0.28675,0.0114,0.14685892983270812
0.3,False,moderate,19,0.19932228290142667,0.06563526983437665,0.005,-0.00039410418888258914,0.23912653186612423,0.09111172340282576,0.02,0.18608519267132387,0.25191702613977673,0.27435000000000004,0.7164999999999999,0.72425,0.2656,0.01015,0.15363948469901267
0.3,False,moderate,20,0.1823669755836024,0.05349487474766724,0.0,0.02248371647901842,0.22688952965238965,0.07768932809445649,0.01,0.1866211939692753,0.24051819296100377,0.27265000000000006,0.7134999999999999,0.71355,0.2762,0.01025,0.1670074025188371
0.4,False,moderate,1,0.2096871149568367,0.06901196724538135,0.01,0.00440882243345556,0.25326402120525143,0.10840053956288451,0.045,0.2287390785822223,0.2610407432873167,0.26585000000000003,0.7014999999999999,0.6184,0.35155,0.03005,0.16333673722841704
0.4,False,moderate,2,0.19059743712646474,0.05720448308590214,0.0,0.028628713285309644,0.25449941800409465,0.10088111869135873,0.02,0.22918642876396703,0.2567613973754554,0.26330000000000003,0.6969999999999998,0.6055,0.3641,0.0304,0.18023323863795804
0.4,False,moderate,3,0.21005571295541936,0.0635471503341683,0.0,0.01766280789913216,0.24956788119396964,0.10054151443789044,0.035,0.2284050039829961,0.2492630970829159,0.26160000000000005,0.694,0.60145,0.36735,0.0312,0.17100715348493195
0.4,False,moderate,4,0.20717293076457982,0.06613236927168636,0.0,-0.013615899555178118,0.26063616121038047,0.11033482228765511,0.025,0.23032153603618866,0.2676752285740464,0.2667,0.7029999999999998,0.61575,0.3553,0.02895,0.1921492479017978
0.4,False,moderate,5,0.20003324076959686,0.06254615509521043,0.0,-0.025265706737977647,0.26275423785854135,0.11256769314175845,0.035,0.22772857290929316,0.2695370499674376,0.2573500000000001,0.6864999999999999,0.59955,0.36885,0.0316,0.18123592892836995
0.4,False,moderate,6,0.2095752444496806,0.06517368723509094,0.0,-0.013438595988123182,0.2664458962818995,0.11398892443324829,0.03,0.22952256247909314,0.27278989574080137,0.265,0.7,0.6088,0.36125,0.02995,0.17525475523840037
0.4,False,moderate,7,0.21453912083551216,0.07363733642023591,0.0,0.006080063815113688,0.2567875498274204,0.10452601881752323,0.035,0.23263487686890383,0.2633131865887906,0.2735000000000001,0.715,0.62845,0.34485,0.0267,0.19018685263120003
0.4,False,moderate,8,0.21309581243195738,0.0725050247627128,0.005,0.0375992216793335,0.27387792518125115,0.11723440211903725,0.035,0.23181503206258702,0.2781086834270987,0.2709500000000001,0.7104999999999998,0.6257,0.34695,0.02735,0.17538483796002402
0.4,False,moderate,9,0.20205691970577944,0.06598813596762981,0.0,0.008402867748845204,0.2472579661360684,0.10079625878366166,0.025,0.23173786190468712,0.252022514698864,0.26925000000000004,0.7075,0.61035,0.36145,0.0282,0.1831273343886489
0.4,False,moderate,10,0.2042432987242141,0.06627447170780623,0.01,0.00819078572095842,0.26936637815331665,0.11638112884976333,0.04,0.22862305373082328,0.2768634430262308,0.26585000000000003,0.7014999999999999,0.61295,0.35675,0.0303,0.192396430297541
0.4,False,moderate,11,0.19613792688434148,0.06251536820851748,0.005,-0.019518074786520668,0.25381467778206945,0.10694736682035767,0.025,0.22911305610325688,0.2632503254816796,0.26415000000000005,0.6984999999999999,0.61335,0.35675,0.0299,0.187785237628155
0.4,False,moderate,12,0.19537205970393023,0.05964389041408078,0.005,0.016983693837317012,0.2556420839502841,0.10455375050049712,0.025,0.2305606803670039,0.26349222699057206,0.2684,0.706,0.61635,0.35495,0.0287,0.18896299715748746
0.4,False,moderate,13,0.21325786114025597,0.07019208204881759,0.005,-0.03469448880740136,0.26409999298853215,0.11167136015244228,0.04,0.2315979459448609,0.270912478709337,0.27435000000000004,0.7164999999999998,0.62965,0.34305,0.0273,0.18709578786531111
