initial_preference_width,social_signal_weight,initial_distribution,seed,initial_mean_extremity,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_acceptance_rate,final_backfire_rate,final_opinion_bimodality
0.2,0.8,moderate,10,0.2044132878424167,0.22906050339208334,0.07678904686975704,0.0,0.12574949182555098,0.86815,0.0005,1.4566524068763091
0.2,0.8,moderate,11,0.1935147621509833,0.223762716132013,0.0752546761444689,0.0,0.12557943760088267,0.8667,0.0008,1.392276597427741
0.2,0.8,moderate,12,0.20011486111083443,0.24488106114732916,0.08752606499410584,0.005,0.12548329298275687,0.8694,0.0008,1.459667294635589
0.2,0.8,moderate,13,0.20134267020431204,0.21522533263090793,0.06871766559921681,0.0,0.12522413576062502,0.8723,0.001,1.4168623000956604
0.2,0.8,moderate,14,0.21257339552570712,0.23397180395543907,0.08211623622623243,0.0,0.12579260136845727,0.8682,0.00045,1.4050143573904037
0.2,0.8,moderate,15,0.2158427026807445,0.2410745375549098,0.08261824410051155,0.0,0.12585120316640816,0.8657,0.0005,1.5228378260933038
0.2,0.8,moderate,16,0.1969658676173248,0.22844152636092196,0.07593021031842369,0.0,0.1254600826311453,0.8788,0.00035,1.4699647277515158
0.2,0.8,moderate,17,0.19726209158028682,0.22864020881870314,0.0759281878288002,0.005,0.1259785132315744,0.8564,0.0008,1.463138380527762
0.2,0.8,moderate,18,0.17609498966195816,0.21636179391470756,0.0703832328815989,0.0,0.1260551166402818,0.8583,0.0006,1.4101328261971275
0.2,0.8,moderate,19,0.18990994326268365,0.21500919907569796,0.06947567246955492,0.0,0.12550708358602944,0.87765,0.00035,1.4118539326186754
0.2,0.8,moderate,20,0.20763362579690126,0.2331129849341586,0.07530407692110976,0.0,0.1256035574290579,0.87215,0.0005,1.533211428922171
1.0,0.0,moderate,1,0.19811572703022232,0.6140272903622711,0.490466882268422,0.49,0.3308716474882944,0.49275,0.13115,1.7837843350541693
1.0,0.0,moderate,2,0.2138430050887382,0.609229123570342,0.48552835259996824,0.485,0.3257067560994469,0.48565,0.13385,1.781044779835431
1.0,0.0,moderate,3,0.19983688633371138,0.5893704757304502,0.46294325139351244,0.47,0.3265536232869184,0.47435,0.1346,1.7243756449142937
1.0,0.0,moderate,4,0.20080048002125309,0.6137075460857343,0.4817176117858496,0.49,0.3269505705693817,0.4957,0.13295,1.7930613806971138
1.0,0.0,moderate,5,0.22980353319435337,0.6357661469325271,0.515721299909806,0.53,0.3199276158708849,0.488,0.1367,1.9054018445645797
1.0,0.0,moderate,6,0.1918677830029164,0.5245413088351484,0.40168602756976973,0.415,0.3285694843087874,0.4796,0.1336,1.4757389615242145
1.0,0.0,moderate,7,0.21868071108550083,0.6316810991234141,0.508726662021812,0.52,0.33272231225079757,0.50835,0.12935,1.8779334219423225
1.0,0.0,moderate,8,0.21515193646971373,0.6346540219290933,0.5163578469717606,0.53,0.33692157475031964,0.4909,0.1283,1.8476298254805308
1.0,0.0,moderate,9,0.19541946442912056,0.6254055466814595,0.5010991504421767,0.5,0.3323343225224521,0.4835,0.13105,1.8808425732681016
1.0,0.0,moderate,10,0.19822928342081705,0.5888253096849231,0.46556935826995327,0.465,0.3288788579164408,0.4932,0.1323,1.7066689091338088
1.0,0.0,moderate,11,0.19741773384728142,0.5972824335113238,0.4670252118427263,0.455,0.3234550657319704,0.48585,0.13535,1.758282191758417
1.0,0.0,moderate,12,0.18821469921754336,0.5809665083873903,0.4577817505386756,0.44,0.3317348955852487,0.47965,0.1318,1.6752400760083053
1.0,0.0,moderate,13,0.19353032698274908,0.6411482659188324,0.5228298575644034,0.535,0.3389501824533167,0.4955,0.12685,1.9193811141556623
1.0,0.0,moderate,14,0.2148544911426841,0.6185726629800842,0.5061412872134115,0.505,0.3319419758128076,0.4844,0.13125,1.7559600945649732
1.0,0.0,moderate,15,0.21430212264736348,0.6007477805848587,0.4657977756340661,0.465,0.3308001268384335,0.4826,0.1321,1.725466867760907
1.0,0.0,moderate,16,0.1946735418760506,0.5863524539145416,0.45606866657005535,0.465,0.3369970161353397,0.48325,0.1285,1.7407448555520555
1.0,0.0,moderate,17,0.19355888504600074,0.5785733557312878,0.44889045502851643,0.45,0.3208498801811503,0.47685,0.1373,1.6782522682362384
